node,lat,lon,REGION,node_name
LES_TBGS_CT4,40.909653,-96.61309,SPP,SETTLEMENTLOCATION
LES_TBGS_CC1,40.909653,-96.61309,SPP,SETTLEMENTLOCATION
LES_TBGS_CC1,40.909653,-96.61309,SPP,SETTLEMENTLOCATION
LES_TBGS_CC1,40.909653,-96.61309,SPP,SETTLEMENTLOCATION
LES_LFG_1,40.909653,-96.61309,SPP,SETTLEMENTLOCATION
WAUE.NWPS.AB2,45.429884,-98.49396,SPP,SETTLEMENTLOCATION
WAUE.NWPS.AB1,45.429884,-98.49396,SPP,SETTLEMENTLOCATION
OKGE.RIVERVALLEY,35.1931,-94.6458,SPP,SETTLEMENTLOCATION
OKGE.RIVERVALLEY,35.1931,-94.6458,SPP,SETTLEMENTLOCATION
NPPD_AINSWIND,42.4489,-99.8917,SPP,SETTLEMENTLOCATION
WAUE.NMCA.ALGONA,43.0733,-94.2392,SPP,SETTLEMENTLOCATION
WFEC_ANA_COMB_CYC_4,35.0847,-98.23,SPP,SETTLEMENTLOCATION
WFEC_ANA_COMB_CYC_5,35.0847,-98.23,SPP,SETTLEMENTLOCATION
WFEC_ANA_COMB_CYC_6,35.0847,-98.23,SPP,SETTLEMENTLOCATION
WFEC_ANA_ORME_10,35.0847,-98.23,SPP,SETTLEMENTLOCATION
WFEC_ANA_ORME_11,35.0847,-98.23,SPP,SETTLEMENTLOCATION
WFEC_ANA_ORME_9,35.0847,-98.23,SPP,SETTLEMENTLOCATION
WFEC_ANA_STEAM_PLANT,35.0847,-98.23,SPP,SETTLEMENTLOCATION
WFEC_ANA_GENCO_7,35.0847,-98.23,SPP,SETTLEMENTLOCATION
WFEC_ANA_GENCO_8,35.0847,-98.23,SPP,SETTLEMENTLOCATION
WFEC_ANA_STEAM_PLANT,35.0847,-98.23,SPP,SETTLEMENTLOCATION
WFEC_ANA_STEAM_PLANT,35.0847,-98.23,SPP,SETTLEMENTLOCATION
WAUE.BEPM.AVS1,47.370542,-101.8357,SPP,SETTLEMENTLOCATION
WAUE.BEPM.AVS2,47.370542,-101.8357,SPP,SETTLEMENTLOCATION
NPPD.UPSR.UPSR,42.184336,-97.96498,SPP,SETTLEMENTLOCATION
ANTELOPE,33.865,-101.8433,SPP,SETTLEMENTLOCATION
SPS.GSEC.ANT2,33.865,-101.8433,SPP,SETTLEMENTLOCATION
SPS.GSEC.ANT3,33.865,-101.8433,SPP,SETTLEMENTLOCATION
OKGE.GLAS.GLAS,34.386944,-97.13694,SPP,SETTLEMENTLOCATION
CSWARSENALHILL5,32.5181,-93.7611,SPP,SETTLEMENTLOCATION
EDE.NORTHFORK,37.38999,-94.51027,SPP,SETTLEMENTLOCATION
OKGE.PNDA.PNDA,36.555532,-100.6689,SPP,SETTLEMENTLOCATION
OKGE.GBST.BLUESTEM,36.552151,-100.5876,SPP,SETTLEMENTLOCATION
NPPD_BPS,40.330184,-96.80815,SPP,SETTLEMENTLOCATION
NPPD_BPS,40.330184,-96.80815,SPP,SETTLEMENTLOCATION
NPPD_BPS,40.330184,-96.80815,SPP,SETTLEMENTLOCATION
WAUE.NWPS.BIGSTONE1,45.303652,-96.51007,SPP,SETTLEMENTLOCATION
WAUE.BIGBEND.1_8,44.0384,-99.4463,SPP,SETTLEMENTLOCATION
WAUE.BIGBEND.1_8,44.0384,-99.4463,SPP,SETTLEMENTLOCATION
WAUE.BIGBEND.1_8,44.0384,-99.4463,SPP,SETTLEMENTLOCATION
WAUE.BIGBEND.1_8,44.0384,-99.4463,SPP,SETTLEMENTLOCATION
